day,count
2016-04-15,3499
2016-03-17,1742
2016-04-18,4453
2016-04-09,1381
2016-04-11,2245
2016-03-09,2871
2016-04-12,3240
2016-03-29,1960
2016-04-01,1430
2016-03-27,1141
2016-03-08,2847
2016-04-08,1840
2016-04-07,3242
2016-02-28,2616
2016-04-10,1261
2016-03-03,3506
2016-03-04,2438
2016-04-17,2377
2016-04-05,1947
2016-04-14,3487
2016-03-23,1995
2016-03-12,1381
2016-04-03,1319
2016-03-05,1661
2016-03-14,2090
2016-03-31,1783
2016-03-22,2342
2016-03-15,2558
2016-03-25,1104
2016-04-13,3023
2016-03-11,2549
2016-03-18,2243
2016-03-02,3206
2016-02-27,2360
2016-03-30,1771
2016-03-24,1852
2016-03-21,1911
2016-04-16,2293
2016-03-19,1545
2016-03-13,1600
2016-02-26,3287
2016-02-29,3117
2016-03-01,2539
2016-04-04,1888
2016-04-19,4179
2016-03-20,1319
2016-04-02,1096
2016-04-20,3113
2016-03-10,2881
2016-03-07,2368
2016-03-16,1932
2016-03-26,1217
2016-02-24,2511
2016-02-25,3583
2016-03-06,2127
2016-04-06,2320
2016-03-28,1190
