day,count
2016-04-15,10803
2016-03-17,5237
2016-04-18,14457
2016-04-09,4414
2016-04-11,6647
2016-03-09,8192
2016-04-12,10404
2016-03-29,6405
2016-04-01,4633
2016-03-27,4380
2016-03-08,8484
2016-04-08,5853
2016-04-07,10157
2016-02-28,8845
2016-04-10,4295
2016-03-03,11782
2016-03-04,8137
2016-04-17,8162
2016-04-05,6084
2016-04-14,10699
2016-03-23,6645
2016-03-12,4424
2016-04-03,4352
2016-03-05,5485
2016-03-14,6132
2016-03-31,6014
2016-03-22,10433
2016-03-15,7724
2016-03-25,3672
2016-04-13,9163
2016-03-11,8064
2016-03-18,7192
2016-03-02,9125
2016-02-27,7742
2016-03-30,6120
2016-03-24,6251
2016-03-21,6488
2016-04-16,7551
2016-03-19,5149
2016-03-13,5386
2016-02-26,10014
2016-03-01,8289
2016-02-29,10213
2016-04-04,5959
2016-04-19,12587
2016-03-20,4551
2016-04-02,3725
2016-04-20,9469
2016-03-10,8769
2016-03-07,7436
2016-03-16,5577
2016-03-26,4350
2016-02-24,7873
2016-02-25,11391
2016-03-06,7431
2016-04-06,7365
2016-03-28,3821
