day,count
2016-04-15,1019
2016-03-17,521
2016-04-18,1798
2016-04-09,447
2016-04-11,634
2016-03-09,644
2016-04-12,1049
2016-03-29,675
2016-04-01,487
2016-03-27,565
2016-03-08,798
2016-04-08,585
2016-04-07,961
2016-02-28,1057
2016-04-10,464
2016-03-03,1351
2016-03-04,852
2016-04-17,1008
2016-04-05,629
2016-04-14,995
2016-03-23,734
2016-03-12,461
2016-04-03,452
2016-03-05,604
2016-03-14,608
2016-03-31,737
2016-03-22,1820
2016-03-15,711
2016-03-25,406
2016-04-13,805
2016-03-11,768
2016-03-18,795
2016-03-02,891
2016-02-27,804
2016-03-30,687
2016-03-24,691
2016-03-21,755
2016-04-16,803
2016-03-19,676
2016-03-13,557
2016-02-26,952
2016-03-01,878
2016-02-29,1045
2016-04-04,597
2016-04-19,1270
2016-03-20,561
2016-04-02,440
2016-04-20,986
2016-03-10,833
2016-03-07,750
2016-03-16,526
2016-03-26,494
2016-02-24,738
2016-03-06,865
2016-02-25,1138
2016-04-06,791
2016-03-28,375
